Year,Make,Model,Condition,Price,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2022,Honda,Pilot Sport,New,"$41,375 ",L61064,3,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",C17629,1,5,5,5,5,5,5,IL,Dealer
2019,Honda,Pilot Touring 7-Passenger,Used,"$39,490 ",1330,35454,4.8,4.7,4.7,4.6,4.7,4.8,WI,Dealer
2023,Honda,HR-V Sport,New,"$29,150 ",41479-25,–,4,5,4,5,5,5,IN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",PH800430,5,5,3,4,4,5,5,TN,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",A20650,7,5,5,5,5,5,5,IN,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,700 ",H04953,5,5,3,4,4,5,5,TN,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",H06283,5,5,3,4,4,5,5,TN,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$33,695 ",H03504,5,5,3,4,4,5,5,TN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",18508,2,5,3,4,4,5,5,KY,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",347706,10,5,3,4,4,5,5,KY,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",53136,3,5,3,4,4,5,5,IN,Dealer
2023,Honda,CR-V EX-L,New,"$36,788 ",2742170,448,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",2742556,0,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V EX-L,New,"$37,510 ",PE013588,5,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V EX,New,"$34,405 ",PE013514,2,5,5,5,4,4,5,OH,Dealer
2015,Honda,Fit EX,Used,"$14,996 ",FM730705,77355,4.4,4.5,4.5,4.7,4.6,4.6,OH,Dealer
2023,Honda,CR-V EX,New,"$33,855 ",6311906,0,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V EX,New,"$34,860 ",6312030,0,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V EX-L,New,"$37,510 ",J2749,0,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",PH410005,6,5,5,5,4,4,5,OH,Dealer
2023,Honda,CR-V EX-L,New,"$37,450 ",PE012544,10,5,5,5,4,4,5,OH,Dealer
2023,Honda,Ridgeline Black Edition,New,"$49,380 ",39516,9,5,4.8,4.8,4.2,5,5,OH,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",PH800716,3,5,3,4,4,5,5,OH,Dealer
2023,Honda,Odyssey EX-L,New,"$41,905 ",17453,3,5,5,4,4,4,5,OH,Dealer
2021,Honda,Accord Hybrid Touring,Honda Certified,"$34,858 ",MA004806A,25821,4.7,4.5,4.5,4.4,4.6,4.4,MI,Dealer
2022,Honda,Pilot Elite,New,"$52,060 ",913027,21,5,5,5,5,5,5,FL,Dealer
2018,Honda,Odyssey EX-L,Used,"$28,223 ",G354158A,58621,4.8,4.7,4.6,4.3,4.7,4.6,FL,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",NB102980,3,5,5,5,5,5,5,FL,Dealer
2022,Honda,Pilot TrailSport,New,"$45,500 ",JH220026,9,5,5,5,5,5,5,PA,Dealer
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",NA024601,10,5,5,5,5,5,5,FL,Dealer
2023,Honda,Ridgeline RTL-E,New,"$48,114 ",PB011962,5,5,4.8,4.8,4.2,5,5,FL,Dealer
2021,Honda,CR-V EX,Used,"$26,899 ",O375309,12976,4.9,4.8,4.8,4.8,4.9,4.9,FL,Dealer
2020,Honda,Pilot EX-L,Used,"$38,981 ",X16554,38041,4.6,4.5,4.2,4.1,4.5,4.1,VA,Dealer
2023,Honda,Passport TrailSport,New,"$45,185 ",PB006689,5,,,,,,,VA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,600 ",40005-28,16,5,5,5,5,5,5,VA,Dealer
2023,Honda,CR-V EX,New,"$33,855 ",51555,1,5,5,5,4,4,5,MD,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",51585,–,5,5,5,4,4,5,MD,Dealer
2019,Honda,Pilot Touring 7-Passenger,Used,"$32,923 ",KB027309P,32671,4.8,4.7,4.7,4.6,4.7,4.8,AK,Dealer
2023,Honda,Civic Sport,New,"$25,745 ",PH507987,8,,,,,,,FL,Dealer
2023,Honda,Odyssey EX-L,New,"$42,360 ",HP6025,2,5,5,4,4,4,5,VA,Dealer
2019,Honda,Insight Touring,Used,"$21,990 ",S104722G,55645,4.6,4.8,4.5,4.7,4.8,4.8,FL,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",40017-37,5,4.9,5,5,4.9,4.9,5,PA,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",PL000047S,3,5,5,5,4,4,5,NJ,Dealer
2023,Honda,Odyssey Elite,New,"$51,310 ",H23147,10,5,5,4,4,4,5,NJ,Dealer
2022,Honda,Passport Elite,New,"$47,225 ",S2450,5,5,5,4.9,5,4.9,5,NY,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",PH800915,5,5,3,4,4,5,5,NJ,Dealer
2023,Honda,HR-V LX,New,"$29,940 ",41293-27,5,4,5,4,5,5,5,NY,Dealer
2021,Honda,CR-V EX-L,Used,"$29,555 ",C3730A,44738,4.9,4.8,4.8,4.8,4.9,4.9,VT,Dealer
2023,Honda,CR-V EX-L,New,"$37,450 ",W300196,4,5,5,5,4,4,5,MA,Dealer
2023,Honda,HR-V Sport,New,"$29,040 ",W300121,0,4,5,4,5,5,5,MA,Dealer
2015,Honda,Civic LX,Used,"$16,995 ",54,87351,4.6,4.6,4.6,4.7,4.6,4.8,MA,Dealer
2021,Honda,Passport Sport,Used,"$27,990 ",BG0779A,15615,4.9,4.7,4.8,4.6,4.8,4.8,MA,Dealer
2022,Honda,Pilot Sport,New,"$39,406 ",NB086105,14,5,5,5,5,5,5,CA,Dealer
2022,Honda,Accord Hybrid Sport,New,"$37,991 ",NA041551,8,4.9,5,5,4.9,4.9,5,CA,Dealer
2023,Honda,Odyssey Touring,New,"$45,895 ",73819,27,5,5,4,4,4,5,AZ,Dealer
2010,Honda,Odyssey EX-L,Used,"$15,990 ",2002177204,86383,4.6,4.4,4.3,4.3,4.4,4.6,,
2022,Honda,Pilot Sport,New,"$37,159 ",H22453,0,5,5,5,5,5,5,AZ,Dealer
2023,Honda,Odyssey Elite,New,"$50,915 ",230064,0,5,5,4,4,4,5,NM,Dealer
2022,Honda,Pilot Sport,New,"$39,406 ",H0822093,1,5,5,5,5,5,5,OR,Dealer
2017,Honda,Ridgeline RTL-T,Used,"$29,569 ",H230301,60430,4.8,4.7,4.7,4.4,4.7,4.7,CO,Dealer
2005,Honda,S2000,Used,"$23,568 ",B7162A,109230,4.1,4.6,4.9,4.8,5,5,CO,Dealer
2022,Honda,Pilot Sport,New,"$41,375 ",H1136,13,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot Sport,New,"$36,803 ",NB037612,5,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot Special Edition,New,"$41,866 ",NB104629,5,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot EX-L,New,"$40,740 ",NB096277,5,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot Special Edition,New,"$42,988 ",220210,60,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot TrailSport,New,"$44,935 ",220212,59,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot EX-L,New,"$43,693 ",229313,10,5,5,5,5,5,5,WA,Dealer
2019,Honda,Odyssey EX-L,Honda Certified,"$33,250 ",H001310PC,31643,4.8,4.6,4.5,4.3,4.7,4.5,MT,Dealer
2023,Honda,HR-V LX,New,"$24,845 ",H5810,6,4,5,4,5,5,5,TX,Dealer
2023,Honda,Pilot EX-L 8-Passenger,New,"$45,683 ",46353,1,,,,,,,WA,Dealer
2023,Honda,Pilot EX-L 7-Passenger,New,"$46,443 ",46369,1,,,,,,,WA,Dealer
2023,Honda,Pilot Touring,New,"$50,348 ",46370,1,,,,,,,WA,Dealer
2022,Honda,Pilot EX-L,New,"$39,976 ",46162,5,5,5,5,5,5,5,WA,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",2089,2,5,5,5,4,4,5,KS,Dealer
2019,Honda,Passport Sport,Used,"$27,988 ",HY0085,22566,4.8,4.7,4.7,4.6,4.7,4.8,TX,Dealer
2016,Honda,Civic EX-T,Used,"$17,995 ",201143,81538,4.6,4.6,4.6,4.6,4.8,4.6,OK,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",NA116191,6,5,5,5,5,5,5,OK,Dealer
2023,Honda,CR-V EX-L,New,"$35,400 ",H04978,21,5,5,5,4,4,5,TX,Dealer
2023,Honda,CR-V EX-L,New,"$35,391 ",PH301794,12,5,5,5,4,4,5,TX,Dealer
2020,Honda,Civic Sport,Used,"$26,716 ",E2411A,26765,4.8,4.8,4.9,4.8,4.9,4.9,KS,Dealer
2022,Honda,Accord Sport 2.0T,New,"$33,133 ",NA025276,10,5,5,5,5,5,5,TX,Dealer
2017,Honda,Accord Sport,Used,"$19,057 ",V23048A,87504,4.8,4.8,4.8,4.8,4.8,4.9,NE,Dealer
2012,Honda,Accord SE,Used,"$15,990 ",A12H6341,71965,4.4,4.4,4.5,4.6,4.5,4.7,SD,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",H23100,2,5,3,4,4,5,5,MO,Dealer
2023,Honda,Accord EX,New,"$30,705 ",41992-07,–,,,,,,,TX,Dealer
2023,Honda,CR-V EX,New,"$33,105 ",75126,6,5,5,5,4,4,5,TX,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",8091764,–,5,5,5,5,5,5,ND,Dealer
2023,Honda,Pilot Touring 8-Passenger,New,"$49,845 ",23-0152,10,,,,,,,MO,Dealer
2017,Honda,Civic LX,Used,"$17,751 ",HH574561F,46045,4.7,4.7,4.8,4.8,4.8,4.8,ND,Dealer
2023,Honda,Passport EX-L,New,"$42,900 ",23168,0,,,,,,,MN,Dealer
2022,Honda,Pilot Sport,New,"$39,975 ",NB102643,5,5,5,5,5,5,5,MO,Dealer
2023,Honda,CR-V EX,New,"$34,860 ",H13517,1,5,5,5,4,4,5,IA,Dealer
2022,Honda,Ridgeline RTL-E,Used,"$40,998 ",8BF317R,8242,5,4.9,4.9,4.3,4.7,5,MN,Dealer
2022,Honda,Accord Sport 1.5T,New,"$32,465 ",221842,3,5,5,5,5,5,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505 ",230105,–,5,5,5,4,4,5,MO,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",922H464,–,5,5,5,5,5,5,WI,Dealer
2023,Honda,Pilot TrailSport,New,"$51,735 ",H23085,2,,,,,,,WI,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105 ",H30551,5,5,5,5,5,5,5,KY,Dealer
2021,Honda,Odyssey EX-L,Used,"$36,595 ",34398,30448,5,5,4.9,4.8,4.8,5,KY,Dealer
2022,Honda,Passport TrailSport,New,"$47,165 ",E9851,9,5,5,4.9,5,4.9,5,IL,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",E10039,10,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",E10000,2,5,5,5,5,5,5,IL,Dealer
2022,Honda,CR-V Hybrid Touring,Used,"$40,519 ",B3048A,7837,4.6,4.9,4.5,4.6,4.8,4.7,IL,Dealer
2023,Honda,Ridgeline RTL-E,New,"$47,925 ",30086,0,5,4.8,4.8,4.2,5,5,IL,Dealer
2023,Honda,CR-V EX,New,"$32,750 ",H5707DT,–,5,5,5,4,4,5,KY,Dealer
2023,Honda,Civic Sport,New,"$27,400 ",H23183,5,,,,,,,IN,Dealer
2020,Honda,Civic EX,Honda Certified,"$24,950 ",W7065A,19078,4.8,4.8,4.9,4.8,4.9,4.9,IN,Dealer
2018,Honda,Clarity Plug-In Hybrid Touring,Used,"$19,997 ",N4110425A,78977,4.8,4.7,4.6,4.6,4.4,4.7,TN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",B30126,7,5,3,4,4,5,5,IN,Dealer
2020,Honda,Odyssey Elite,Honda Certified,"$41,922 ",N23H116A,47866,4.8,4.8,4.7,4.6,4.7,4.7,KY,Dealer
2023,Honda,Ridgeline RTL-E,New,"$45,205 ",23H146,15,5,4.8,4.8,4.2,5,5,IN,Dealer
2022,Honda,Accord Sport 1.5T,New,"$32,075 ",L220589,4,5,5,5,5,5,5,IN,Dealer
2023,Honda,Pilot Touring,New,"$51,280 ",23271,3,,,,,,,IN,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",NB100740,3,5,5,5,5,5,5,TN,Dealer
2022,Honda,Accord Sport 1.5T,New,"$29,200 ",H9023,–,5,5,5,5,5,5,OH,Dealer
2022,Honda,Accord Sport 1.5T,New,"$29,200 ",H9003,–,5,5,5,5,5,5,OH,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",H22465,–,5,5,5,5,5,5,OH,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",NA079305,20,5,5,5,5,5,5,GA,Dealer
2023,Honda,Odyssey Elite,New,"$51,310 ",PB023297,20,5,5,4,4,4,5,GA,Dealer
2023,Honda,Civic EX,New,"$28,000 ",H303596,3,,,,,,,GA,Dealer
2013,Honda,Accord Sport,Used,"$13,538 ",XH62981A,116189,4.4,4.4,4.5,4.5,4.6,4.6,FL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",52230670,2,5,3,4,4,5,5,OH,Dealer
2020,Honda,CR-V Touring,Used,"$24,500 ",55630990,102740,4.9,4.8,4.8,4.8,4.9,4.9,OH,Dealer
2015,Honda,CR-Z EX,Used,"$15,757 ",TOO1037A,68058,4.5,4.7,4.7,4.9,4.9,5,FL,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",17261,0,5,5,5,5,5,5,VA,Dealer
2012,Honda,Crosstour EX-L,Used,"$15,482 ",CL006186,92227,4.8,4.7,4.7,4.6,4.7,4.8,SC,Dealer
2020,Honda,Insight EX,Used,"$19,224 ",H328497A,114858,4.5,4.8,4.5,4.8,4.9,5,FL,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",H6701,6,5,5,5,5,5,5,VA,Dealer
2023,Honda,CR-V EX-L,New,"$35,005 ",PH301808,12,5,5,5,4,4,5,NC,Dealer
2022,Honda,Passport TrailSport,New,"$44,265 ",H4858,3,5,5,4.9,5,4.9,5,NY,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",H4875,3,5,5,5,5,5,5,NY,Dealer
2019,Honda,Accord LX,Used,"$25,555 ",P5275,28667,4.7,4.7,4.7,4.7,4.8,4.8,SC,Dealer
2022,Honda,Ridgeline Black,New,"$46,295 ",HN12025,3097,5,4.9,4.9,4.3,4.7,5,NC,Dealer
2023,Honda,Odyssey Touring,New,"$46,290 ",40004-01,10,5,5,4,4,4,5,VA,Dealer
2022,Honda,Pilot EX-L,New,"$43,605 ",NB089910,4,5,5,5,5,5,5,MD,Dealer
2023,Honda,Ridgeline RTL,New,"$43,580 ",PB018375,5,5,4.8,4.8,4.2,5,5,MD,Dealer
2017,Honda,Accord LX,Used,"$18,400 ",Z2587,44314,4.8,4.8,4.8,4.8,4.8,4.9,NY,Dealer
2023,Honda,Odyssey EX-L,New,"$42,250 ",HP6023,2,5,5,4,4,4,5,VA,Dealer
2015,Honda,Odyssey EX-L,Used,"$17,050 ",K1801A,62722,4.8,4.6,4.7,4.6,4.7,4.8,NY,Dealer
2023,Honda,Odyssey Elite,New,Not Priced,H30145,7,5,5,4,4,4,5,PA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505 ",PH401861,3,5,5,5,4,4,5,PA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",PH805758,5,5,3,4,4,5,5,NJ,Dealer
2016,Honda,HR-V EX-L w/Navigation,Used,"$22,995 ",F32768,26546,4.4,4.4,4.2,4.5,4.6,4.7,AK,Dealer
2023,Honda,Civic Si,New,"$29,195 ",A014128300064,5,,,,,,,NJ,Dealer
2023,Honda,HR-V LX,New,"$26,790 ",PM717423,4,4,5,4,5,5,5,NJ,Dealer
2022,Honda,Ridgeline Black Edition,New,"$47,260 ",226773,10,5,4.9,4.9,4.3,4.7,5,NJ,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",227374,101,4.9,5,5,4.9,4.9,5,NJ,Dealer
2023,Honda,Pilot Elite,New,"$53,375 ",PB005487,4,,,,,,,NJ,Dealer
2023,Honda,Pilot Elite,New,"$53,720 ",230400,–,,,,,,,NY,Dealer
2023,Honda,Pilot EX-L 8-Passenger,New,"$45,740 ",230165,15,,,,,,,CT,Dealer
2022,Honda,Pilot Special Edition,New,"$44,600 ",H221813,5,5,5,5,5,5,5,MA,Dealer
2023,Honda,Accord Hybrid Sport,New,"$32,990 ",230227,0,,,,,,,CA,Dealer
2023,Honda,Accord EX,New,"$30,705 ",230228,0,,,,,,,CA,Dealer
2023,Honda,Civic EX,New,"$27,600 ",7503636,10,,,,,,,CA,Dealer
2009,Honda,CR-V EX-L,Used,"$16,990 ",2002185740,61529,4.4,4.5,4.5,4.7,4.6,4.8,,
2022,Honda,Passport TrailSport,New,"$43,265 ",78630,6,5,5,4.9,5,4.9,5,NV,Dealer
2023,Honda,Odyssey Elite,New,"$51,310 ",182046,11,5,5,4,4,4,5,AZ,Dealer
2023,Honda,Pilot Touring,New,"$50,240 ",230583,10,,,,,,,AZ,Dealer
2013,Honda,CR-V LX,Used,"$12,908 ",DL004388,121156,4.5,4.5,4.5,4.5,4.5,4.6,UT,Dealer
2022,Honda,Pilot Sport,New,"$41,375 ",H22235,–,5,5,5,5,5,5,CO,Dealer
2022,Honda,Pilot Special Edition,New,"$44,100 ",2B1198,5,5,5,5,5,5,5,CO,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",2C0090,42,5,5,5,4,4,5,CO,Dealer
2019,Honda,Civic Type R Touring,Used,"$42,993 ",U13659Z,26770,4.6,4.7,5,4.8,4.8,4.8,CO,Dealer
2022,Honda,HR-V EX-L,New,"$29,790 ",23363,3000,3.8,3.2,3.6,3.6,4.2,4.2,CO,Dealer
2022,Honda,Pilot Special Edition,New,"$41,987 ",H17111,3,5,5,5,5,5,5,WA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",PH800285,5,5,3,4,4,5,5,WA,Dealer
2019,Honda,Civic Sport,Used,"$21,998 ",T7077A,50552,4.8,4.8,4.9,4.8,4.9,4.9,NE,Dealer
2022,Honda,Accord Sport 1.5T,New,"$29,575 ",W7113,5,5,5,5,5,5,5,NE,Dealer
2022,Honda,Passport TrailSport,New,"$47,060 ",W7108,5,5,5,4.9,5,4.9,5,NE,Dealer
2023,Honda,Passport Elite,New,"$47,855 ",23008H,11,,,,,,,NE,Dealer
2023,Honda,Pilot TrailSport,New,"$51,845 ",P001396,9,,,,,,,KS,Dealer
2020,Honda,Civic Sport,Used,"$24,875 ",B70418A,26102,4.8,4.8,4.9,4.8,4.9,4.9,KS,Dealer
2022,Honda,Pilot Sport,New,"$37,272 ",NB039146,10,5,5,5,5,5,5,TX,Dealer
2020,Honda,Passport EX-L,Used,"$32,639 ",UGM5577,37812,4.9,4.8,4.8,4.6,4.8,4.8,MO,Dealer
2022,Honda,Pilot Sport,New,"$39,770 ",A6009960,5,5,5,5,5,5,5,MO,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,200 ",P0155,3,5,3,4,4,5,5,MO,Dealer
2023,Honda,Passport Elite,New,"$51,150 ",P0156,11,,,,,,,MO,Dealer
2022,Honda,Pilot Sport,New,"$45,773 ",NB102491,4,5,5,5,5,5,5,AR,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",NB095748,10,5,5,5,5,5,5,TX,Dealer
2018,Honda,Civic EX,Used,"$20,998 ",42032,53871,4.7,4.7,4.8,4.8,4.9,4.8,TX,Dealer
2017,Honda,Odyssey EX-L,Used,"$23,595 ",NF366385A,82146,4.8,4.6,4.8,4.6,4.7,4.8,ND,Dealer
2021,Honda,Pilot EX-L,Honda Certified,"$38,990 ",P9911,45949,4.9,4.8,4.8,4.7,4.7,4.8,MO,Dealer
2020,Honda,Civic Si Base,Used,"$26,536 ",J3024C,29558,4.8,4.8,4.8,4.8,4.9,4.9,IA,Dealer
2022,Honda,Accord Sport SE,New,"$31,565 ",H13488,6,5,5,5,5,5,5,IA,Dealer
2019,Honda,Insight Touring,Used,"$25,889 ",N5242A,57918,4.6,4.8,4.5,4.7,4.8,4.8,MN,Dealer
2022,Honda,HR-V EX,Used,"$27,990 ",UCL5388,11208,3.8,3.2,3.6,3.6,4.2,4.2,LA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",H23037,12,5,3,4,4,5,5,WI,Dealer
2011,Honda,CR-V EX-L,Used,"$12,987 ",H3770B,108259,4.5,4.4,4.4,4.6,4.5,4.7,TN,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",E10012,2,5,5,5,5,5,5,IL,Dealer
2017,Honda,Odyssey EX-L,Used,"$23,018 ",P9335A,64200,4.8,4.6,4.8,4.6,4.7,4.8,IL,Dealer
2020,Honda,Passport Touring,Used,"$33,600 ",HCCP370,21614,4.9,4.8,4.8,4.6,4.8,4.8,IL,Dealer
2022,Honda,Pilot Sport,New,"$40,770 ",98405,3,5,5,5,5,5,5,IL,Dealer
2015,Honda,CR-Z EX,Used,"$15,990 ",2001735171,101023,4.5,4.7,4.7,4.9,4.9,5,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",WN11405,12,5,3,4,4,5,5,WI,Dealer
2017,Honda,Pilot Elite,Used,"$29,873 ",22T627A,48201,4.8,4.7,4.7,4.6,4.7,4.7,MS,Dealer
2023,Honda,Odyssey Elite,New,"$51,420 ",P2121,1,5,5,4,4,4,5,IL,Dealer
2022,Honda,Pilot EX-L,New,"$44,000 ",NB098829,10,5,5,5,5,5,5,IL,Dealer
2006,Honda,Element EX-P,Used,"$7,299 ",HGM7187,166364,4.2,4.4,4.1,4.5,4.5,4.6,WI,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,395 ",62537,10,5,3,4,4,5,5,WI,Dealer
2023,Honda,Odyssey EX-L,New,"$41,705 ",C17614,1,5,5,4,4,4,5,IL,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",H5644,–,5,5,5,4,4,5,KY,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",H800642,15,5,3,4,4,5,5,WI,Dealer
2019,Honda,Passport Elite,Honda Certified,"$31,200 ",22H0563A,49376,4.8,4.7,4.7,4.6,4.7,4.8,AL,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",22H147,3,5,5,5,5,5,5,IN,Dealer
2022,Honda,Ridgeline Black Edition,New,"$49,260 ",L220556,4,5,4.9,4.9,4.3,4.7,5,IN,Dealer
2020,Honda,Insight EX,Used,"$23,998 ",TLE002935,51396,4.5,4.8,4.5,4.8,4.9,5,FL,Dealer
2022,Honda,Civic Sport Touring,Used,"$28,500 ",NE001511,12908,4.6,4.9,4.4,4.6,4.6,4.7,OH,Dealer
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",862522,–,5,5,5,5,5,5,OH,Dealer
2023,Honda,Pilot EX-L 7-Passenger,New,"$45,645 ",496632,12,,,,,,,GA,Dealer
2023,Honda,Civic Sport,New,"$26,945 ",PE004380,5,,,,,,,TN,Dealer
2019,Honda,Insight Touring,Honda Certified,"$26,995 ",KE008037,27514,4.6,4.8,4.5,4.7,4.8,4.8,TN,Dealer
2011,Honda,Civic LX-S,Used,"$9,722 ",WP5450A,128227,4.1,4.2,4.4,4.3,4.3,4.4,OH,Dealer
2023,Honda,Civic Si Manual,New,"$30,050 ",QG23518,0,,,,,,,GA,Dealer
2023,Honda,Pilot Elite,New,"$53,375 ",PB006201,0,,,,,,,OH,Dealer
2023,Honda,Odyssey EX-L,New,"$42,360 ",PB037707,4,5,5,4,4,4,5,MI,Dealer
2015,Honda,CR-V Touring,Used,"$20,900 ",S8506T,40922,4.4,4.4,4.3,4.3,4.6,4.5,OH,Dealer
2023,Honda,Civic Si Base,New,"$31,348 ",PH471230,3,,,,,,,GA,Dealer
2023,Honda,Civic Si Base,New,"$31,348 ",PH471793,0,,,,,,,GA,Dealer
2023,Honda,Ridgeline RTL,New,"$43,470 ",64756,0,5,4.8,4.8,4.2,5,5,OH,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",Y321,3,5,5,5,5,5,5,NC,Dealer
2023,Honda,Pilot Touring,New,"$47,745 ",Q100359,0,,,,,,,NC,Dealer
2015,Honda,Fit EX-L,Used,"$19,998 ",23709584,25591,4.4,4.5,4.5,4.7,4.6,4.6,FL,Dealer
2022,Honda,Pilot Sport,New,"$41,375 ",NB098182,2,5,5,5,5,5,5,PA,Dealer
2002,Honda,S2000 Base (M6),Used,"$33,700 ",475510014,13650,4.1,4.5,4.8,4.9,4.9,5,PA,Dealer
2020,Honda,Insight Touring,Used,"$24,000 ",PP004370,29604,4.5,4.8,4.5,4.8,4.9,5,FL,Dealer
2023,Honda,CR-V EX-L,New,"$37,508 ",H36277,5,5,5,5,4,4,5,NC,Dealer
2017,Honda,Accord Sport,Used,"$19,998 ",23055828,117250,4.8,4.8,4.8,4.8,4.8,4.9,FL,Dealer
2022,Honda,Pilot Sport,New,"$44,970 ",HO7538,10,5,5,5,5,5,5,NC,Dealer
2020,Honda,Ridgeline RTL-E,Used,"$36,750 ",HP4573,28331,4.8,4.7,4.6,4.5,4.7,4.7,SC,Dealer
2022,Honda,Pilot Sport,New,"$41,375 ",H6676,6,5,5,5,5,5,5,VA,Dealer
2023,Honda,HR-V EX-L,New,"$29,540 ",PM726098,2,4,5,4,5,5,5,FL,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",NB098663,7,5,5,5,5,5,5,FL,Dealer
2018,Honda,Odyssey Elite,Used,"$29,848 ",OT226562A,78359,4.8,4.7,4.6,4.3,4.7,4.6,FL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$43,780 ",Q10157,0,5,3,4,4,5,5,NC,Dealer
2023,Honda,CR-V EX,New,"$33,855 ",PE004627,4,5,5,5,4,4,5,VA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205 ",40005-33,10,5,5,5,5,5,5,VA,Dealer
2023,Honda,Passport TrailSport,New,"$45,290 ",PB002885,10,,,,,,,VA,Dealer
2023,Honda,HR-V EX-L,New,"$29,145 ",H725311,3,4,5,4,5,5,5,VA,Dealer
2023,Honda,Passport EX-L,New,"$42,395 ",51519,–,,,,,,,MD,Dealer
2017,Honda,Odyssey EX-L,Used,"$25,375 ",P4028,59447,4.8,4.6,4.8,4.6,4.7,4.8,NY,Dealer
2023,Honda,Civic Si Base,New,"$29,590 ",H23035,3,,,,,,,MD,Dealer
2010,Honda,Accord Crosstour,Used,"$9,500 ",5871,127240,4.7,4.6,4.7,4.6,4.6,4.8,NC,Dealer
2023,Honda,Ridgeline Black Edition,New,"$47,525 ",530167,–,5,4.8,4.8,4.2,5,5,PA,Dealer
