id,id,year,make,model,condition,price,consumer_rating,comfort_rating,performance_rating,value_for_money_rating,reliability_rating,mileage,fuel_type,engine,state,seller_type
23,23,2022,Honda,Odyssey EX-L,New,"$43,687",4.8,5,4,4,5,5,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
24,24,2022,Honda,CR-V Hybrid Sport,New,"$41,765",5,5,4,4,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
25,25,2022,Honda,CR-V Hybrid Sport Touring,New,"$43,605",3.7,5,4,4,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
26,26,2022,Honda,Ridgeline RTL,New,"$32,164",5,5,4.8,4.2,5,â€“,Hybrid,4 Cylinder Engine,CA,Dealer
27,27,2023,Honda,Pilot EX-L,New,"$24,894",4.6,5,5,5,5,5,Gasoline,4 Cylinder Engine,CA,Dealer
28,28,2022,Honda,Pilot Sport,New,"$34,555",4.7,5,5,5,5,7,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,NV,Dealer
29,29,2022,Honda,CR-V EX,New,"$32,559",5,4.9,4.7,4.8,4.9,10,Hybrid,4 Cylinder Engine,WI,Dealer
30,30,2022,Honda,Pilot Sport,New,"$28,190",4.7,5,5,5,5,12,Gasoline,1.8L I4 16V MPFI SOHC,AZ,Dealer
31,31,2022,Honda,CR-V Hybrid Sport,New,"$46,500",4.8,5,4,4,5,12,Gasoline,3.5L V6 24V GDI SOHC,KY,Dealer
32,32,2023,Honda,CR-V EX-L,New,"$29,039",4.6,5,5,4,5,â€“,Gasoline,4 Cylinder Engine,CO,Dealer
33,33,2022,Honda,Pilot Special Edition,New,"$33,032",5,5,5,5,5,3,Gasoline,2.0L I4 16V GDI DOHC Turbo,WA,Dealer
34,34,2023,Honda,Accord Sport 1.5T,New,"$36,504",4.7,5,5,5,5,â€“,Gasoline,4 Cylinder Engine,KY,Dealer
35,35,2023,Honda,Pilot Special Edition,New,"$40,239",4.4,5,5,5,5,â€“,Hybrid,4 Cylinder Engine,WA,Dealer
36,36,2023,Honda,Ridgeline RTL-E,New,"$34,089",4.4,5,4.8,4.2,5,5,Hybrid,4 Cylinder Engine,NE,Dealer
37,37,2022,Honda,Ridgeline RTL-E,New,"$30,470",5,5,4.8,4.2,5,â€“,Gasoline,1.5L I4 16V GDI DOHC Turbo,KY,Dealer
38,38,2022,Honda,Ridgeline Black Edition,New,"$25,845",4.6,5,4.8,4.2,5,â€“,Gasoline,4 Cylinder Engine,KY,Dealer
39,39,2022,Honda,Accord Hybrid Base,New,"$43,000",5,4.9,5,4.9,5,0,Gasoline,3.5L V6 24V GDI SOHC,OK,Dealer
40,40,2022,Honda,Accord Sport 1.5T,New,"$42,053",4.6,5,5,5,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,KY,Dealer
41,41,2022,Honda,HR-V LX,New,"$46,420",4.4,4,4,5,5,12,Gasoline,3.5L V6 24V GDI SOHC,OK,Dealer
42,42,2022,Honda,CR-V Hybrid Sport Touring,New,"$44,600",4.6,5,4,4,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
43,43,2022,Honda,Pilot Sport,New,"$46,105",5,5,5,5,5,2,Gasoline,3.5L V6 24V GDI SOHC,MI,Dealer
44,44,2022,Honda,Accord Hybrid Base,New,"$47,620",4.9,4.9,5,4.9,5,5,Gasoline,3.5L V6 24V GDI SOHC,OK,Dealer
45,45,2022,Honda,CR-V Hybrid Sport,New,"$39,595",4.5,5,4,4,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
46,46,2022,Honda,Pilot Sport,New,"$31,960",5,5,5,5,5,â€“,Gasoline,1.5L I4 16V GDI DOHC Turbo,MO,Dealer
47,47,2022,Honda,CR-V Hybrid Sport Touring,New,"$38,685",5,5,4,4,5,â€“,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,CA,Dealer
48,48,2022,Honda,Passport Elite,New,"$25,044",4.6,5,4.9,5,5,1,Gasoline,4 Cylinder Engine,KY,Dealer
49,49,2022,Honda,Civic Sport,New,"$46,500",4.6,4.6,4.4,4.6,4.7,5,Gasoline,3.5L V6 24V GDI SOHC,OK,Dealer
50,50,2022,Honda,Ridgeline RTL-E,New,"$48,860",5,5,4.8,4.2,5,0,Gasoline,3.5L V6 24V GDI SOHC,TX,Dealer
51,51,2022,Honda,Pilot Sport,New,"$41,770",5,5,5,5,5,4,Gasoline,3.5L V6 24V GDI SOHC,MI,Dealer
52,52,2022,Honda,Pilot Special Edition,New,"$42,053",4.5,5,5,5,5,3,Gasoline,3.5L V6 24V GDI SOHC,NV,Dealer
53,53,2022,Honda,Pilot Sport,New,"$35,150",5,5,5,5,5,2,Gasoline,2.0L I4 16V GDI DOHC Turbo,IA,Dealer
54,54,2022,Honda,CR-V EX-L,New,"$32,560",5,5,5,4,5,5,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,AZ,Dealer
55,55,2022,Honda,Odyssey Elite,New,"$32,560",5,5,4,4,5,5,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,TX,Dealer
56,56,2022,Honda,Pilot Sport,New,"$43,605",5,5,5,5,5,4,Gasoline,3.5L V6 24V GDI SOHC,MI,Dealer
57,57,2022,Honda,Pilot TrailSport,New,"$30,470",4.8,5,5,5,5,2,Gasoline,1.5L I4 16V GDI DOHC Turbo,IA,Dealer
58,58,2022,Honda,CR-V Hybrid Sport Touring,New,"$40,666",5,5,4,4,5,15,Gasoline,3.5L V6 24V GDI SOHC,CO,Dealer
59,59,2022,Honda,Accord Sport 2.0T,New,"$45,760",5,5,5,5,5,3,Gasoline,3.5L V6 24V GDI SOHC,IN,Dealer
60,60,2022,Honda,Pilot EX-L,New,"$45,760",5,5,5,5,5,2,Gasoline,3.5L V6 24V GDI SOHC,IA,Dealer
61,61,2022,Honda,Ridgeline RTL-E,New,"$35,150",4.8,5,4.9,4.3,5,10,Gasoline,2.0L I4 16V GDI DOHC Turbo,WA,Dealer
62,62,2022,Honda,Ridgeline RTL-E,New,"$32,560",5,5,4.9,4.3,5,9268,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,WA,Dealer
63,63,2022,Honda,Accord Hybrid Sport,New,"$42,435",5,4.9,5,4.9,5,12,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
64,64,2023,Honda,Passport Elite,New,"$40,850",4.4,5,4.9,5,5,9352,Hybrid,4 Cylinder Engine,WA,Dealer
65,65,2022,Honda,Ridgeline RTL-E,New,"$32,560",5,5,4.8,4.2,5,14,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,TX,Dealer
66,66,2023,Honda,Ridgeline RTL-E,New,"$43,075",4.8,5,4.8,4.2,5,5,Gasoline,V6 Cylinder Engine,NE,Dealer
67,67,2022,Honda,Ridgeline RTL-E,New,"$30,075",4.8,5,4.8,4.2,5,5,Gasoline,1.5L I4 16V GDI DOHC Turbo,TX,Dealer
68,68,2023,Honda,HR-V EX,New,"$30,705",4.7,3.8,3.6,3.6,4.2,â€“,Gasoline,4 Cylinder Engine,IL,Dealer
69,69,2022,Honda,Accord Sport 1.5T,New,"$34,555",4.7,5,5,5,5,4,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,OK,Dealer
70,70,2023,Honda,Ridgeline RTL-E,New,"$33,855",4.7,5,4.8,4.2,5,5,Gasoline,4 Cylinder Engine,TX,Dealer
71,71,2022,Honda,HR-V Sport,New,"$47,050",5,4,4,5,5,16,Gasoline,3.5L V6 24V GDI SOHC,OK,Dealer
72,72,2022,Honda,Pilot TrailSport,New,"$42,810",5,5,5,5,5,11,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
73,73,2022,Honda,CR-V EX-L,New,"$39,995",4.6,5,5,4,5,2,Gasoline,3.5L V6 24V GDI SOHC,OK,Dealer
74,74,2022,Honda,Pilot Touring 7-Passenger,New,"$32,560",4.8,5,5,5,5,10,Hybrid,Gas/Electric I-4 2.0 L/122,NE,Dealer
75,75,2022,Honda,Accord Sport 1.5T,New,"$30,075",4.7,5,5,5,5,255,Gasoline,1.5L I4 16V GDI DOHC Turbo,IN,Dealer
76,76,2022,Honda,CR-V Hybrid Sport Touring,New,"$32,930",4.4,5,4,4,5,7,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,OK,Dealer
77,77,2023,Honda,Ridgeline RTL,New,"$43,050",4.4,5,4.8,4.2,5,5,Gasoline,V6 Cylinder Engine,MO,Dealer
78,78,2022,Honda,CR-V Hybrid Sport Touring,New,"$46,500",4.7,5,4,4,5,25,Gasoline,V6 Cylinder Engine,IN,Dealer
79,79,2022,Honda,CR-V Hybrid Sport,New,"$32,560",4.8,5,4,4,5,â€“,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,AR,Dealer
80,80,2022,Honda,CR-V Hybrid Sport,New,"$44,205",5,5,4,4,5,2,Gasoline,V6 Cylinder Engine,OK,Dealer
81,81,2022,Honda,Accord Sport SE,New,"$33,463",3.8,5,5,5,5,6,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,IN,Dealer
82,82,2022,Honda,Accord Hybrid Sport,New,"$41,770",4.6,4.9,5,4.9,5,0,Gasoline,3.5L V6 24V GDI SOHC,MN,Dealer
83,83,2023,Honda,Civic Sport,New,"$43,050",4.4,4.6,4.4,4.6,4.7,18,Gasoline,V6 Cylinder Engine,OK,Dealer
84,84,2022,Honda,Pilot TrailSport,New,"$30,470",4.9,5,5,5,5,5,Gasoline,1.5L I4 16V GDI DOHC Turbo,OK,Dealer
85,85,2022,Honda,Ridgeline RTL,New,"$48,860",4.2,5,4.8,4.2,5,1,Gasoline,3.5L V6 24V GDI SOHC,IA,Dealer
86,86,2022,Honda,CR-V Hybrid Sport Touring,New,"$46,105",4.6,5,4,4,5,176,Gasoline,3.5L V6 24V GDI SOHC,GA,Dealer
87,87,2022,Honda,Passport Elite,New,"$53,560",4.6,5,4.9,5,5,10,Gasoline,3.5L V6 24V GDI SOHC,TX,Dealer
88,88,2022,Honda,Pilot EX-L,New,"$46,719",4.5,5,5,5,5,6,Gasoline,3.5L V6 24V GDI SOHC,IA,Dealer
89,89,2022,Honda,Passport EX-L,New,"$46,105",4.8,5,4.9,5,5,12,Gasoline,3.5L V6 24V GDI SOHC,GA,Dealer
90,90,2022,Honda,Pilot Sport,New,"$46,105",4.3,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,TX,Dealer
91,91,2022,Honda,Pilot Special Edition,New,"$50,125",4.6,5,5,5,5,4,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
92,92,2022,Honda,CR-V Hybrid Sport,New,"$41,500",4.5,5,4,4,5,5,Gasoline,3.5L V6 24V GDI SOHC,GA,Dealer
93,93,2022,Honda,Ridgeline RTL,New,"$32,560",5,5,4.8,4.2,5,5,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,TX,Dealer
94,94,2022,Honda,CR-V EX-L,New,"$46,105",5,5,5,4,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,OH,Dealer
95,95,2022,Honda,CR-V EX-L,New,"$46,465",5,5,5,4,5,10,Gasoline,3.5L V6 24V GDI SOHC,TX,Dealer
96,96,2022,Honda,Pilot TrailSport,New,"$41,375",4.8,5,5,5,5,4,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
97,97,2022,Honda,Pilot TrailSport,New,"$43,605",5,5,5,5,5,8,Gasoline,3.5L V6 24V GDI SOHC,OK,Dealer
98,98,2022,Honda,CR-V EX,New,"$32,158",3,5,5,4,5,2,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,LA,Dealer
99,99,2022,Honda,Odyssey Elite,New,"$31,560",4.5,5,4,4,5,â€“,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,OH,Dealer
100,100,2022,Honda,Accord Sport 1.5T,New,"$51,560",4.7,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,KS,Dealer
101,101,2022,Honda,Accord Hybrid Sport,New,"$43,230",4.9,4.9,5,4.9,5,12,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
102,102,2022,Honda,Ridgeline RTL,New,"$45,169",4.9,5,4.8,4.2,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,OH,Dealer
103,103,2022,Honda,Accord Sport 2.0T,New,"$48,709",4.9,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,KS,Dealer
104,104,2023,Honda,CR-V EX-L,New,"$40,850",4.4,5,5,4,5,5,Hybrid,4 Cylinder Engine,KY,Dealer
105,105,2023,Honda,Odyssey EX-L,New,"$36,900",4.7,5,4,4,5,4,Gasoline,4 Cylinder Engine,MI,Dealer
106,106,2022,Honda,Pilot Sport,New,"$43,258",5,5,5,5,5,10,Gasoline,3.5L V6 24V GDI SOHC,TN,Dealer
107,107,2023,Honda,Accord Sport 2.0T,New,"$40,240",4.4,5,5,5,5,â€“,Hybrid,4 Cylinder Engine,LA,Dealer
108,108,2022,Honda,Accord Sport 1.5T,New,"$46,500",5,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,KS,Dealer
109,109,2023,Honda,Ridgeline RTL-E,New,"$40,240",4.4,5,4.9,4.3,5,23,Hybrid,4 Cylinder Engine,GA,Dealer
110,110,2022,Honda,CR-V Hybrid Sport Touring,New,"$46,105",5,5,4,4,5,5,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
111,111,2022,Honda,Passport Elite,New,"$42,950",4.5,5,4.9,5,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,TX,Dealer
112,112,2022,Honda,Accord Sport 1.5T,New,"$47,848",4.9,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
113,113,2022,Honda,Accord Hybrid Sport,New,"$35,150",4.2,4.9,5,4.9,5,20,Gasoline,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,GA,Dealer
114,114,2022,Honda,Accord Sport 1.5T,New,"$44,205",5,5,5,5,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
115,115,2022,Honda,Accord Sport 1.5T,New,"$29,720",4.6,5,5,5,5,10,Gasoline,1.5L I4 16V GDI DOHC Turbo,TX,Dealer
116,116,2022,Honda,Accord Hybrid Sport,New,"$30,470",5,4.9,5,4.9,5,20,Gasoline,1.5L I4 16V GDI DOHC Turbo,GA,Dealer
117,117,2022,Honda,HR-V EX-L,New,"$39,950",4.5,4,4,5,5,0,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
118,118,2022,Honda,Pilot TrailSport,New,"$31,635",4.8,5,5,5,5,6,Gasoline,1.5L I4 16V GDI DOHC Turbo,IA,Dealer
119,119,2022,Honda,Pilot EX-L,New,"$36,845",4.8,5,5,5,5,12,Gasoline,1.5L I4 16V GDI DOHC Turbo,IL,Dealer
120,120,2022,Honda,Pilot TrailSport,New,"$46,500",5,5,5,5,5,7,Gasoline,V6 Cylinder Engine,IL,Dealer
121,121,2022,Honda,Passport TrailSport,New,"$30,470",5,5,4.9,5,5,13,Gasoline,1.5L I4 16V GDI DOHC Turbo,MO,Dealer
122,122,2022,Honda,Ridgeline RTL,New,"$26,545",4.8,5,4.9,4.3,5,23,Gasoline,1.8L I4 16V MPFI SOHC,GA,Dealer
123,123,2022,Honda,Pilot EX-L,New,"$48,465",4.7,5,5,5,5,0,Gasoline,3.5L V6 24V GDI SOHC,MN,Dealer
124,124,2022,Honda,CR-V EX-L,New,"$44,100",5,5,5,4,5,6,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
125,125,2022,Honda,Pilot Sport,New,"$34,755",4.8,5,5,5,5,5,Gasoline,2.0L I4 16V GDI DOHC Turbo,IL,Dealer
126,126,2022,Honda,Odyssey Sport,New,"$44,600",4.8,5,4,4,5,0,Gasoline,3.5L V6 24V GDI SOHC,MI,Dealer
127,127,2022,Honda,Pilot TrailSport,New,"$30,669",5,5,5,5,5,862,Gasoline,1.5L I4 16V GDI DOHC Turbo,IL,Dealer
128,128,2023,Honda,CR-V EX,New,"$40,240",4.9,5,5,4,5,5,Hybrid,4 Cylinder Engine,IA,Dealer
129,129,2022,Honda,Pilot Special Edition,New,"$32,159",5,5,5,5,5,6,Gasoline,1.5L I4 16V GDI DOHC Turbo,MI,Dealer
130,130,2022,Honda,CR-V Hybrid Sport Touring,New,"$48,860",5,5,4,4,5,10,Gasoline,V6 Cylinder Engine,IL,Dealer
131,131,2022,Honda,Pilot Black Edition,New,"$37,551",5,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
132,132,2022,Honda,Passport EX-L,New,"$44,600",4.9,5,4.9,5,5,335,Gasoline,V6 Cylinder Engine,IL,Dealer
133,133,2022,Honda,Odyssey Sport,New,"$34,555",4.7,5,4,4,5,0,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,MI,Dealer
134,134,2022,Honda,Passport Elite,New,"$35,349",5,5,4.9,5,5,5,Gasoline,2.0L I4 16V GDI DOHC Turbo,IL,Dealer
135,135,2022,Honda,Ridgeline RTL,New,"$30,470",5,5,4.8,4.2,5,7,Gasoline,1.5L I4 16V GDI DOHC Turbo,CA,Dealer
136,136,2022,Honda,Pilot TrailSport,New,"$32,030",4.9,5,5,5,5,7,Gasoline,4 Cylinder Engine,CA,Dealer
137,137,2022,Honda,Ridgeline Black Edition,New,"$45,665",5,5,4.8,4.2,5,1,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
138,138,2022,Honda,Pilot Touring 7-Passenger,New,"$39,780",5,5,5,5,5,9,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
139,139,2022,Honda,Pilot TrailSport,New,"$29,790",4.7,5,5,5,5,â€“,Gasoline,1.8L I4 16V MPFI SOHC,KY,Dealer
140,140,2022,Honda,HR-V LX,New,"$47,620",5,4,4,5,5,80,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
141,141,2022,Honda,Accord Hybrid Sport,New,"$41,770",5,4.9,5,4.9,5,6,Gasoline,3.5L V6 24V GDI SOHC,OH,Dealer
142,142,2022,Honda,Odyssey Sport,New,"$43,605",4.6,5,4,4,5,6,Gasoline,3.5L V6 24V GDI SOHC,IA,Dealer
143,143,2022,Honda,Passport TrailSport,New,"$44,205",4.8,5,4.9,5,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,CA,Dealer
144,144,2022,Honda,CR-V EX-L,New,"$42,000",4.4,5,5,4,5,0,Gasoline,3.5L V6 24V GDI SOHC,OH,Dealer
145,145,2022,Honda,Ridgeline RTL-E,New,"$41,770",3.4,5,4.8,4.2,5,5,Gasoline,3.5L V6 24V GDI SOHC,NE,Dealer
146,146,2022,Honda,Passport EX-L,New,"$34,755",5,5,4.9,5,5,1,Gasoline,2.0L I4 16V GDI DOHC Turbo,IA,Dealer
147,147,2022,Honda,CR-V Hybrid Sport Touring,New,"$30,075",5,5,4,4,5,16,Gasoline,1.5L I4 16V GDI DOHC Turbo,TX,Dealer
148,148,2022,Honda,CR-V EX-L,New,"$41,770",4.7,5,5,4,5,6,Gasoline,V6 Cylinder Engine,IA,Dealer
149,149,2022,Honda,Accord Hybrid Sport,New,"$28,652",4.8,4.9,5,4.9,5,12,Gasoline,1.5L I4 16V GDI DOHC Turbo,GA,Dealer
150,150,2022,Honda,CR-V EX,New,"$46,105",4.6,5,5,4,5,6,Gasoline,3.5L V6 24V GDI SOHC,IA,Dealer
151,151,2022,Honda,CR-V EX-L,New,"$43,600",4.6,5,5,4,5,12,Gasoline,3.5L V6 24V GDI SOHC,MO,Dealer
152,152,2022,Honda,CR-V Hybrid Sport Touring,New,"$32,560",5,5,4,4,5,â€“,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,OH,Dealer
153,153,2022,Honda,Pilot EX-L,New,"$32,055",3.9,5,5,5,5,7,Gasoline,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,IA,Dealer
154,154,2023,Honda,Pilot TrailSport,New,"$34,090",4.9,5,5,5,5,16,Hybrid,Gas/Electric I-4 2.0 L/122,IA,Dealer
155,155,2022,Honda,Odyssey EX-L,New,"$34,755",5,5,4,4,5,5,Gasoline,2.0L I4 16V GDI DOHC Turbo,MI,Dealer
156,156,2023,Honda,Pilot Special Edition,New,"$34,090",4.9,5,5,5,5,10,Hybrid,Gas/Electric I-4 2.0 L/122,IL,Dealer
157,157,2022,Honda,CR-V EX-L,New,"$32,158",3,5,5,4,5,10,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,IA,Dealer
158,158,2022,Honda,CR-V Hybrid Sport,New,"$32,560",5,5,4,4,5,4,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,GA,Dealer
159,159,2023,Honda,CR-V EX-L,New,"$43,075",4.8,5,5,4,5,1,Gasoline,Regular Unleaded V-6 3.5 L/212,IA,Dealer
160,160,2023,Honda,Pilot Sport,New,"$50,765",4.4,5,5,5,5,15,Gasoline,V6 Cylinder Engine,IA,Dealer
161,161,2022,Honda,CR-V Hybrid Sport Touring,New,"$30,075",4.9,5,4,4,5,0,Gasoline,1.5L I4 16V GDI DOHC Turbo,MI,Dealer
162,162,2022,Honda,CR-V EX-L,New,"$47,260",5,5,5,4,5,1,Gasoline,3.5L V6 24V GDI SOHC,IA,Dealer
163,163,2022,Honda,Pilot TrailSport,New,"$29,375",5,5,5,5,5,12,Gasoline,1.5L I4 16V GDI DOHC Turbo,WI,Dealer
164,164,2023,Honda,Ridgeline RTL-E,New,"$42,895",5,5,4.8,4.2,5,5,Gasoline,4 Cylinder Engine,IL,Dealer
165,165,2022,Honda,Passport TrailSport,New,"$43,195",5,5,4.9,5,5,32,Gasoline,V6 Cylinder Engine,IA,Dealer
166,166,2023,Honda,Pilot Special Edition,New,"$51,845",4.9,5,5,5,5,1,Gasoline,V6 Cylinder Engine,IA,Dealer
167,167,2022,Honda,Pilot Special Edition,New,"$48,860",4.4,5,5,5,5,5,Gasoline,3.5L V6 24V GDI SOHC,TN,Dealer
168,168,2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",4.9,5,4,4,5,10,Hybrid,Gas/Electric I-4 2.0 L/122,MI,Dealer
169,169,2022,Honda,CR-V Touring,New,"$32,560",5,4.9,4.7,4.8,4.9,10,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,LA,Dealer
170,170,2023,Honda,Pilot Sport,New,"$50,350",4.9,5,5,5,5,5,Gasoline,V6 Cylinder Engine,LA,Dealer
171,171,2022,Honda,Odyssey Sport,New,"$40,995",4.9,5,4,4,5,10,Gasoline,V6 Cylinder Engine,IL,Dealer
172,172,2022,Honda,HR-V EX-L,New,"$43,605",5,3.8,3.6,3.6,4.2,â€“,Gasoline,3.5L V6 24V GDI SOHC,IL,Dealer
173,173,2022,Honda,CR-V Hybrid Sport Touring,New,"$39,299",3.9,5,4,4,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,KY,Dealer
174,174,2023,Honda,Pilot Special Edition,New,"$39,845",4.8,5,5,5,5,5,Hybrid,Gas/Electric I-4 2.0 L/122,LA,Dealer
175,175,2022,Honda,CR-V EX-L,New,"$51,664",5,5,5,4,5,12,Gasoline,V6 Cylinder Engine,LA,Dealer
176,176,2023,Honda,CR-V EX-L,New,"$28,790",4.9,5,5,4,5,5,Gasoline,4 Cylinder Engine,IL,Dealer
177,177,2022,Honda,Pilot TrailSport,New,Not Priced,4.7,5,5,5,5,â€“,Gasoline,3.5L V6 24V GDI SOHC,KY,Dealer
178,178,2023,Honda,CR-V EX-L,New,"$40,240",4.8,5,5,4,5,12,Hybrid,Gas/Electric I-4 2.0 L/122,LA,Dealer
179,179,2022,Honda,Pilot EX-L,New,"$26,545",4.9,5,5,5,5,10,Gasoline,4 Cylinder Engine,IL,Dealer
180,180,2022,Honda,CR-V EX-L,New,"$48,343",4.6,5,5,4,5,5,Gasoline,3.5L V6 24V GDI SOHC,LA,Dealer
181,181,2022,Honda,CR-V Hybrid Sport Touring,New,"$41,375",5,5,4,4,5,0,Gasoline,3.5L V6 24V GDI SOHC,MI,Dealer
182,182,2022,Honda,Accord Hybrid Touring,New,"$35,150",5,4.9,5,4.9,5,2,Gasoline,2.0L I4 16V GDI DOHC Turbo,TN,Dealer
183,183,2022,Honda,Accord Sport 1.5T,New,"$46,527",4.8,5,5,5,5,8,Gasoline,3.5L V6 24V GDI SOHC,MI,Dealer
